id,match,name,score,type,input_value,type_id
Q916698,True,oligodendrocyte,100.0,cell type,Oligodendrocytes,Q189118
Q1622829,True,microglia,100.0,cell type,Microglia,Q189118
Q502961,True,astrocyte,100.0,cell type,Astrocytes,Q189118
Q43054,True,neuron,100.0,cell type,Neurons,Q189118
Q12167532,True,cholinergic neurons,50.0,[],Cholinergic neurons,
Q107988,True,basophils,100.0,cell type,Basophils,Q189118
Q188930,True,B-cells,100.0,cell type,B cells,Q189118
Q1151519,True,embryonic stem cell,48.5,[],Embryonic stem cells,
Q107238,True,eosinophils,100.0,cell type,Eosinophils,Q189118
Q514525,True,hematopoietic stem cells,50.0,[],Hematopoietic stem cells,
Q11394395,True,endothelial cells,50.0,[],Endothelial cells,
Q463418,True,fibroblast,100.0,cell type,Fibroblasts,Q189118
Q184204,True,macrophage,100.0,cell type,Macrophages,Q189118
Q191989,True,mast cells,100.0,cell type,Mast cells,Q189118
Q821701,True,megakaryocyte,50.0,[],Megakaryocytes,
Q1922379,True,mesenchymal stem cells,100.0,cell type,Mesenchymal stem cells,Q189118
Q188417,True,neutrophil,100.0,cell type,Neutrophils,Q189118
Q2116409,True,pyramidal cell,100.0,cell type,Pyramidal cells,Q189118
Q506253,True,dendritic cell,100.0,cell type,Dendritic cells,Q189118
Q70220966,True,serotonergic neurons,50.0,[],Serotonergic neurons,
Q513486,True,Kupffer cell,50.0,[],Kupffer cells,
Q107244,True,Monocyte,100.0,cell type,Monocytes,Q189118
Q1815955,True,microfold cell,100.0,cell type,Microfold cells,Q189118
Q775480,True,chondrocyte,50.0,[],Chondrocytes,
Q66508979,True,smooth muscle cell,50.0,[],Smooth muscle cells,
Q1473931,True,keratinocyte,100.0,cell type,Keratinocytes,Q189118
Q827450,True,hepatocyte,100.0,cell type,Hepatocytes,Q189118
Q1956694,True,myoblast,94.0,cell type,Myoblasts,Q189118
Q138912,True,podocyte,100.0,cell type,Podocytes,Q189118
Q2995031,True,alpha cell,47.5,[],Alpha cells,
Q247101,True,melanocyte,100.0,cell type,Melanocytes,Q189118
Q735343,True,M端ller glia,100.0,glia,M端ller cells,Q177105
Q428914,True,myocyte,96.0,cell type,Muscle cells,Q189118
Q2621407,True,delta cell,47.5,[],Delta cells,
Q1997459,True,hepatic stellate cells,50.0,[],Hepatic stellate cells,
Q1340349,True,Enterocyte,50.0,[],Enterocytes,
Q5476344,True,Foveolar cell,48.0,[],Foveolar cells,
Q1513812,True,Pneumocyte,47.5,[],Pneumocytes,
Q281579,True,germ cell,95.0,cell type,Germ cells,Q189118
Q195614,True,Sertoli cell,48.0,[],Sertoli cells,
Q636846,True,Leydig cell,100.0,cell type,Leydig cells,Q189118
Q376266,True,cytotoxic T cell,97.0,cell type,T cytotoxic cells,Q189118
Q500446,True,pericyte,50.0,[],Pericytes,
Q5311600,True,Ductal cells,50.0,[],Ductal cells,
Q15176415,True,epithelial cell,100.0,cell type,Epithelial cells,Q189118
Q813622,True,goblet cell,48.0,[],Goblet cells,
Q1500732,True,interneuron,100.0,cell type,Interneurons,Q189118
Q1623344,True,Langerhans cell,100.0,cell type,Langerhans cells,Q189118
Q1570264,True,Merkel cell,50.0,[],Merkel cells,
Q1467330,True,myofibroblast,100.0,cell type,Myofibroblasts,Q189118
Q3486515,True,spermatocyte,50.0,[],Spermatocytes,
Q448687,True,alveolar macrophage,50.0,[],Alveolar macrophages,
Q70219504,True,acinar cells,50.0,[],Acinar cells,
Q2595765,True,gastric chief cell,50.0,[],Gastric chief cells,
Q66563539,True,olfactory epithelial cell,49.0,[],Olfactory epithelial cells,
Q48997538,True,Peritubular myoid cell,49.0,[],Peritubular myoid cells,
Q5249153,True,Decidual cells,50.0,[],Decidual cells,
Q15220362,True,myeloid-derived suppressor cells,50.0,[],Myeloid-derived suppressor cells,
Q1164962,True,pancreatic stellate cells,50.0,[],Pancreatic stellate cells,
Q66590166,True,erythroblasts,50.0,[],Erythroblasts,
Q4532277,True,Epsilon cell,48.0,[],Epsilon cells,
Q7069936,True,Nuocyte,46.5,[],Nuocytes,
Q224930,True,natural killer T cell,50.0,[],Natural killer T cells,
Q828410,True,osteoclast,100.0,cell type,Osteoclasts,Q189118
Q917177,True,osteoblast,100.0,cell type,Osteoblasts,Q189118
Q913236,True,osteocyte,50.0,[],Osteocytes,
Q1195394,True,memory B cell,96.0,cell type,B cells memory,Q189118
Q66568528,True,plasma cell,50.0,[],Plasma cells,
Q250694,True,plasma cell,48.0,[],Plasma cells,
Q71262051,True,adrenergic neurons,50.0,[],Adrenergic neurons,
Q568290,True,enterochromaffin cell,50.0,[],Enterochromaffin cells,
Q7840748,True,Trichocyte,47.5,[],Trichocytes,
Q3272785,True,Parathyroid chief cell,49.0,[],Parathyroid chief cells,
Q7116107,True,oxyphil cells,50.0,[],Oxyphil cells,
Q3326185,True,Oxyphil cell,48.0,[],Oxyphil cells,
Q66592566,True,Oxyphil cell,48.0,[],Oxyphil cells,
Q70204009,True,luteal cells,50.0,[],Luteal cells,
Q12167532,True,cholinergic neurons,50.0,[],Cholinergic neurons,
Q1151519,True,embryonic stem cell,48.5,[],Embryonic stem cells,
Q514525,True,hematopoietic stem cells,50.0,[],Hematopoietic stem cells,
Q11394395,True,endothelial cells,50.0,[],Endothelial cells,
Q821701,True,megakaryocyte,50.0,[],Megakaryocytes,
Q6959842,True,Naive T cell,100.0,T-lymphocytes,T cell naive,Q193529
Q101026,True,platelets,100.0,cell,Platelets,Q7868
Q632518,True,T helper cell,100.0,cell,T helper cells,Q7868
Q927337,True,retinal ganglion cell,100.0,neuron,Retinal ganglion cells,Q43054
Q2116409,True,pyramidal cell,100.0,cell type,Pyramidal cells,Q189118
Q70220966,True,serotonergic neurons,50.0,[],Serotonergic neurons,
Q513486,True,Kupffer cell,50.0,[],Kupffer cells,
Q66559361,True,microfold cell,48.5,[],Microfold cells,
Q775480,True,chondrocyte,50.0,[],Chondrocytes,
Q66508979,True,smooth muscle cell,50.0,[],Smooth muscle cells,
Q735343,True,M端ller glia,100.0,glia,M端ller cells,Q177105
Q2621407,True,delta cell,47.5,[],Delta cells,
Q1997459,True,hepatic stellate cells,50.0,[],Hepatic stellate cells,
Q1340349,True,Enterocyte,50.0,[],Enterocytes,
Q5380231,True,enteroendocrine cell,100.0,cell,Enteroendocrine cells,Q7868
Q5476344,True,Foveolar cell,48.0,[],Foveolar cells,
Q1513812,True,Pneumocyte,47.5,[],Pneumocytes,
Q4381253,True,stromal cells,50.0,[],Stromal cells,
Q500446,True,pericyte,50.0,[],Pericytes,
Q5311600,True,Ductal cells,50.0,[],Ductal cells,
Q813622,True,goblet cell,48.0,[],Goblet cells,
Q1570264,True,Merkel cell,50.0,[],Merkel cells,
Q3486515,True,spermatocyte,50.0,[],Spermatocytes,
Q748049,True,photoreceptor cell,50.0,[],Photoreceptor cells,
Q448687,True,alveolar macrophage,50.0,[],Alveolar macrophages,
Q70219504,True,acinar cells,50.0,[],Acinar cells,
Q2595765,True,gastric chief cell,50.0,[],Gastric chief cells,
Q66563539,True,olfactory epithelial cell,49.0,[],Olfactory epithelial cells,
Q48997538,True,Peritubular myoid cell,49.0,[],Peritubular myoid cells,
Q5249153,True,Decidual cells,50.0,[],Decidual cells,
Q15220362,True,myeloid-derived suppressor cells,50.0,[],Myeloid-derived suppressor cells,
Q1164962,True,pancreatic stellate cells,50.0,[],Pancreatic stellate cells,
Q66590166,True,erythroblasts,50.0,[],Erythroblasts,
Q4532277,True,Epsilon cell,48.0,[],Epsilon cells,
Q7069936,True,Nuocyte,46.5,[],Nuocytes,
Q224930,True,natural killer T cell,50.0,[],Natural killer T cells,
Q913236,True,osteocyte,50.0,[],Osteocytes,
Q66568528,True,plasma cell,50.0,[],Plasma cells,
Q250694,True,plasma cell,48.0,[],Plasma cells,
Q71262051,True,adrenergic neurons,50.0,[],Adrenergic neurons,
Q568290,True,enterochromaffin cell,50.0,[],Enterochromaffin cells,
Q7840748,True,Trichocyte,47.5,[],Trichocytes,
Q3272785,True,Parathyroid chief cell,49.0,[],Parathyroid chief cells,
Q7116107,True,oxyphil cells,50.0,[],Oxyphil cells,
Q3326185,True,Oxyphil cell,48.0,[],Oxyphil cells,
Q66592566,True,Oxyphil cell,48.0,[],Oxyphil cells,
Q70204009,True,luteal cells,50.0,[],Luteal cells,
